"Timestamp","LogLevel","Reference","Category","Message","Reaspm"
"2023-11-03 11:09:33.638517","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [LaunchTracing] exists",""
"2023-11-03 11:09:33.641809","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Exchange Logs] exists",""
"2023-11-03 11:09:33.643930","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RUA] exists",""
"2023-11-03 11:09:33.654220","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [MuiCache] exists",""
"2023-11-03 11:09:33.656671","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Shellbags] exists",""
"2023-11-03 11:09:33.659881","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS_Sites] exists",""
"2023-11-03 11:09:33.661646","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS Access Logs] exists",""
"2023-11-03 11:09:33.663678","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [OpenSaveMRU] exists",""
"2023-11-03 11:09:33.677168","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RecentFileCache] exists",""
"2023-11-03 11:09:33.693627","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [pcap_parser] exists",""
"2023-11-03 11:09:33.703855","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ProfileList] exists",""
"2023-11-03 11:09:33.706611","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RunMRU] exists",""
"2023-11-03 11:09:33.709270","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ShellExtensions] exists",""
"2023-11-03 11:09:33.711783","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Sysinternals] exists",""
"2023-11-03 11:09:33.714381","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [TerminalServerClient] exists",""
"2023-11-03 11:09:33.717126","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [TimeZoneInformation] exists",""
"2023-11-03 11:09:33.719577","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [TypedUrls] exists",""
"2023-11-03 11:09:33.722046","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Uninstall] exists",""
